CustomerID,RiskTolerance,PreferredInvestment,PortfolioDiversification
ca1a18a0-1b64-4278-840e-5e2a922a4405,Medium,Stocks,0.23
f2db351e-613a-4fb7-9e3f-6d540102d7b0,Low,Mutual Funds,0.35
98110a9a-3dca-46ae-8dbd-671330c2ad13,Low,Real Estate,0.96
4d204088-89ea-4f88-9e9b-9fdfde1f3db8,Medium,Mutual Funds,0.71
1906b1d0-e075-437a-b6d0-3ce8824ed3a7,High,Bonds,0.49
91404b0d-51ae-435b-a304-14c79e0b89cc,Low,Stocks,0.92
2e46d7b7-e3d7-48f3-b37e-525bf57343e9,High,Stocks,0.46
173aea69-0eec-4257-a684-8c177daa9143,Low,Real Estate,0.46
48c99cf4-dc27-4d7f-ae0d-f45da305bb9d,High,Stocks,0.47
c4018885-d0da-4e87-a6f7-01f22866838d,Low,Real Estate,0.85
d02da1a8-5813-4a6a-ac1f-dec6c624956d,High,ETFs,0.29
7af4cbae-68a4-4aa2-9f85-1bba1b11c238,Low,Stocks,0.95
c0888459-0689-4b29-bd2f-efdff9936d4e,High,Bonds,0.24
e20970ef-cd90-45f4-a1fc-c87b812973ed,Low,ETFs,0.82
82fbba3e-8b54-419d-980c-ab3d7ad99508,Medium,Bonds,0.17
c5ede80b-2439-4f78-b075-39a1901fcf47,High,Real Estate,0.78
661ac4bf-5573-4a7d-bf43-53f4403715c7,Low,Bonds,0.44
b0c95ec9-987c-46f3-aed5-19e0fc9b388c,High,Stocks,0.11
f4a0275f-c416-4896-a75d-87ce13300c3b,Medium,Mutual Funds,0.49
60c67320-180f-4fe6-99bf-22473fb4e6e9,Medium,ETFs,0.44
e7a8f0de-93fc-4e03-80bf-ab1581822ed6,Medium,Stocks,0.38
c462ca24-6896-4eff-ba9b-02478b74d44d,High,Real Estate,0.37
40ff197c-03cd-40d5-9143-9042139534f2,Low,Real Estate,0.82
80cd63c1-a899-43cf-9be6-3ce72e32a499,Low,ETFs,0.88
89aefdaf-58ff-4564-9119-10e9b6352c53,Low,Real Estate,0.21
b2656e13-f220-4ef6-82b9-5ff546b13550,High,Mutual Funds,0.24
0d2e97f4-4778-4edd-86a9-e2603463470f,Medium,ETFs,0.99
ae8dd551-8fb2-4770-a711-67888fb00f65,Medium,Bonds,0.23
695557b3-fb7c-41da-8d16-2fb63cb24313,High,Stocks,0.54
9369c48f-0742-4eb0-ba03-bfb87ef4a84c,High,Mutual Funds,0.8
c9a65340-8a4e-4c85-ba60-685e8164e085,High,Stocks,0.42
88546bae-354c-4d7c-a04d-852af38d9455,Low,Bonds,0.58
0872cd68-6d29-42cd-9a65-f1f0f2cec658,Low,Real Estate,0.16
612ab2e5-5663-4c03-bde6-78c805338cba,Low,Mutual Funds,0.54
c8b7dec3-8841-4351-a78a-29b0d3631afa,Medium,Mutual Funds,0.64
e46b0b2d-2152-423f-adb7-dceda7554f23,Medium,Mutual Funds,0.97
e30939c8-69ac-4ea2-a716-2f846be75ad3,Medium,Real Estate,0.82
8a516c00-e470-45b4-a3d3-2f2e90fe2c6e,Medium,Stocks,0.52
ebf708ef-cb1f-4486-b074-dbc7a8ca20e7,High,Mutual Funds,0.78
2eedef45-dcc3-40a7-a144-b9c63a0c562c,Low,Stocks,0.95
4dfbc807-712c-424b-92ba-75e2571fb0f2,Medium,Mutual Funds,0.98
e2e5c362-119e-45e3-a8b3-604171d00ba7,High,Bonds,0.99
37ee9c8f-23f0-45ac-aa94-e9555287a887,High,Bonds,0.67
7b1cf55e-0ab0-445a-94f9-6996662f2cdb,Medium,Mutual Funds,0.42
8210c1a3-3a70-419c-8593-af046e36f1a9,Low,Mutual Funds,0.45
ddc60d2f-2654-4f66-854f-a97d4d22c2a2,High,Real Estate,0.34
0815e39b-c57f-4d00-9e6a-194c38de9b29,High,Real Estate,0.43
df7a0383-53d0-45e9-b4e0-5d0b80b64769,Medium,Real Estate,0.3
80faba8f-a1e2-4fee-9b56-f198d2a0b21e,High,Mutual Funds,0.32
976c5cae-0874-4bfa-bbfc-9be786a74fdd,Medium,Stocks,0.46
bfa3bbe8-4f66-4a36-a386-1592b9ae0f1f,High,Stocks,0.42
278a9cba-77be-471b-946a-1a9daa3d4311,Low,Stocks,0.6
5cf02204-7340-410e-91a3-c307c6769f3a,Medium,Stocks,0.88
7af9a887-22e5-4806-9998-934b4621aef0,High,Real Estate,0.28
96993efa-11bf-4d4b-896b-389cc0414e94,Medium,Stocks,0.83
3e41b25c-115d-40b5-88fa-f06e651da8fd,Medium,Mutual Funds,0.29
51a8f94e-f632-460e-af71-e95db8fceac4,Low,ETFs,0.94
5c76d7ae-48f2-4d47-a40b-57593df439ee,High,Stocks,0.28
e72fd2c1-10c0-433b-964d-3a5cf6eb464c,High,ETFs,0.18
86aafcb6-236a-4c9c-8178-f5281260e308,Low,Real Estate,0.12
501563d6-0195-44d2-a953-580c10c51d04,Medium,Real Estate,0.75
a6c7fd44-be7c-4d9f-8863-d1a9c8e3e270,Medium,Bonds,0.56
fe2eee6f-0ce6-4c67-86c5-f1796d56c8de,Medium,Stocks,0.21
ad39d8ef-ae5a-4f70-95e9-afa003357ae0,High,Stocks,0.36
37886663-c9a5-4d2d-aeb1-6d71ba07d4bd,Low,Stocks,0.68
8336672c-d04b-4ff9-8e7a-8496fb8e109d,Medium,Real Estate,0.66
0227a817-edf1-447e-b3ae-e519c1b6a26d,High,Bonds,0.93
88634434-d7f7-4818-8764-c962fbac783a,High,ETFs,0.88
39e38a69-2bdf-426b-94ec-52a789aa612d,Low,Mutual Funds,0.95
04418c40-0aa8-4878-ab2d-2f08a6bd8a24,Low,ETFs,0.74
04e3800a-d03a-4132-ab5a-2e6667481dae,Low,Bonds,0.73
3f7f1f0a-0470-439d-ad35-ab2e2fb83bd9,High,ETFs,0.2
c6b916fc-59e9-4e16-a952-bc0e36542a88,Low,Bonds,0.35
6c6e357f-dc61-4451-9a82-b64b6e34fa18,Low,Stocks,0.82
b77771ab-6cb3-454c-91e0-c251d417e710,High,Real Estate,0.34
6ba9f655-f1b0-4170-9a07-f485dd537de4,Medium,Bonds,0.3
73d584f0-cdd4-4f9b-bcf9-cf61e19175cd,Medium,Bonds,0.16
8dad531d-e901-43bb-a1ca-b6043c6c15f3,Low,Stocks,0.57
1ddb2e0a-c806-4b1a-ab90-6aafa850c6c2,Low,Real Estate,0.72
9fa1c4e9-ba02-4489-883c-10cee690fc73,Low,ETFs,0.15
ad8b557e-2379-4b82-bfa3-577bea2417e0,Medium,Real Estate,0.84
ff4dd0ef-ae01-413e-8302-082b164c9f2b,Low,ETFs,0.62
4ef87ddd-e3b0-45e5-b83b-6aac5f92c1e6,Medium,Real Estate,0.43
6464a77b-aa8d-4faf-bed9-c3b3e600de75,High,Bonds,0.84
85e5bbb6-6fde-496d-87c8-ada4d1465974,Medium,Bonds,0.34
49b5c9ba-97d5-4270-8deb-6816444eaf4f,Low,Mutual Funds,0.1
76006b9c-65d9-4132-9b96-1391c4b4f741,High,ETFs,0.48
3d8f5ab7-ee90-44b1-bef7-0033810b0daf,Medium,Real Estate,0.83
133481e9-347c-4e58-8865-2b36d577fa80,Low,ETFs,0.42
542ec4f3-7e35-4b48-857d-6d34fedf7a97,High,Real Estate,0.44
e5740390-fc15-4d3a-96d8-62b144b7acbc,Low,Mutual Funds,0.59
870f16be-1b93-496d-aecc-c54658dc9840,Low,Mutual Funds,0.6
83d23ade-9080-4ca1-abf6-4e029418e0bb,Medium,Bonds,0.59
33b41f2a-d8d8-4b3b-94b1-421021b462af,High,ETFs,0.27
e37c809e-54c5-4e30-a675-a9b7d1d55862,Low,ETFs,0.95
3eaba330-aac8-4568-8816-f50483e6bd68,High,Stocks,0.53
c3622195-59f1-4cf1-961d-4a1e7ac054e2,Low,ETFs,0.95
5c40d6cb-bfc5-427b-81ec-39d39a16e326,High,ETFs,0.47
cef5cee6-31c7-4206-8f3f-1b8197cd714c,Low,ETFs,0.35
370d74b3-1701-4d31-8810-d995ebb534c2,High,Mutual Funds,0.64
8db34e33-9d8e-4c69-a719-343b7804b63d,High,Real Estate,0.45
02c7dc43-49fe-440c-b721-60b572434549,Low,Mutual Funds,0.78
0a91278d-5235-4f28-951c-f74e0f95d592,High,Bonds,0.32
8afc3ead-70b8-4dec-9d89-60d3c60e98ac,Medium,Bonds,0.86
cb5859ba-3f30-4001-bb62-8b55a33a1c78,High,Mutual Funds,0.71
b9cde4b5-703a-4939-8c1f-c28599e86d24,Low,ETFs,0.21
3ae881ce-163e-4909-b5ef-6d566acf5122,Low,Bonds,0.54
98e7bb9e-feae-4da9-ad15-2682cc5aea65,High,Real Estate,0.58
1d0bd9fc-d5f7-4861-99b7-51ce0ba0f4b8,High,ETFs,0.39
2d712613-20ac-4bac-8712-30c00c75906d,Medium,Mutual Funds,0.11
f78d3e7e-1834-4463-8a59-018d1f99f9d4,Low,Bonds,0.56
f3b7614b-e63c-498b-8749-f1575676dc8d,Medium,Mutual Funds,0.32
49702d74-5ecb-484f-84e1-941f40fea59a,Low,ETFs,0.23
422d98d6-a8ec-4343-b09c-5f346009d75b,Medium,Real Estate,0.5
bcd23da2-22c1-4f0b-a304-1ba3414dd8e8,High,Mutual Funds,0.52
a89096ad-9593-4f9c-a758-9772d37d8689,High,Bonds,0.39
128244d2-02d9-4444-a147-723f0b6a917f,High,ETFs,0.93
fa87095c-752c-4182-bfb9-f5a97ab4b224,Medium,Bonds,0.23
dd2bc34a-0933-49ff-b882-c2eec0383391,Low,ETFs,0.12
5966c3e1-4a86-4f98-8ecb-0f397f818f18,Low,Real Estate,0.31
80756fea-42c8-4992-9b3c-893be72095d6,Low,Bonds,0.7
e1172200-828f-4db0-8a2a-897321f01771,Low,Bonds,0.58
a74b184e-c544-4fa8-89c3-052c07d38938,High,Stocks,0.91
7700c1fd-06de-40e2-a268-758712e16d04,High,Stocks,0.96
156af81b-6da2-4250-a6ed-2997479603f6,Low,ETFs,0.35
97ecb127-56f7-45b8-a66f-bc98c61e4fd8,Low,Bonds,0.88
0bdbee06-9441-4c3b-9a78-5210a3267414,Low,Real Estate,0.95
56906c38-43a2-4d1f-ae40-2bafbdcaac53,Low,Stocks,0.93
a57f28d1-ef39-4ec6-9ec3-5a987a2223bd,High,Stocks,0.59
c11de79a-1674-4bb1-98b6-4cc18fac8354,Low,ETFs,0.13
7302d20f-4f3c-4781-a842-ea5e7f493e86,High,ETFs,0.25
97e7e548-a156-4d31-9527-fca4f02ef9ce,High,Mutual Funds,0.18
4e55d63c-8eb7-4ea1-85f1-d08cdf580e08,Low,Real Estate,0.12
dc62a7f8-7dba-4dfb-bffd-d4cd06449703,Medium,Mutual Funds,0.11
b48e35c6-8b4d-4232-aa10-33247e5ce455,Medium,ETFs,0.15
b40ea51a-623e-4864-a038-7062164cd183,Medium,Mutual Funds,0.17
b4bd9b10-329e-4cbf-bcc3-33b74dd1d012,Low,Real Estate,0.14
ef3c9ec0-6e03-4ffb-b8d4-9000490c8b67,High,Bonds,0.66
a95cf878-3036-40b4-8158-957257674bc9,Medium,ETFs,0.63
37a84331-5ca4-414b-9cdb-97b4627804f4,Medium,Bonds,0.89
4697bc82-40a8-4b64-96f9-0af8c208919c,Low,ETFs,0.22
e0a9faf7-a5e4-42a7-bd88-d1ea9cef916c,High,Mutual Funds,0.56
64074639-5e39-4daf-9f56-ea9a83be93c5,Medium,ETFs,0.95
c390011f-6bca-48e0-92bb-8b80b3a990aa,Low,ETFs,0.13
b25e5a18-195b-41c1-979c-bdcf13c1f5c2,Low,Bonds,0.39
33a4dc18-4a9d-4e71-861b-b54e44b0d21a,High,Real Estate,0.89
21d11ddb-7d8e-4674-b08b-2195a7aab50e,Medium,Mutual Funds,0.92
dc5634c4-b9b6-4a50-bb2b-936f4199c793,High,Bonds,0.63
3d17e2bb-1971-43d6-91a8-d6b91c1e3b4a,Low,ETFs,0.39
ddcac199-6c99-4c99-910c-01ae3e7b5574,Medium,Bonds,0.14
4ffb9447-8e67-4e0e-acdd-ecc747008bf6,Low,Bonds,0.5
8a340702-497d-4f99-b126-d2e4109a8f75,Low,Stocks,0.31
fc0a4929-e98d-4c30-be98-39e779effff7,High,Bonds,0.29
d775de6a-ea7d-4515-bd70-762bcd34624c,High,Real Estate,0.28
f904e550-c66d-405f-b95c-1d803100efe4,High,Real Estate,0.99
8507c836-7792-48e3-a727-519b5153495b,High,Stocks,0.36
47994ef5-a358-49ea-b498-091d6fb92993,Medium,ETFs,0.33
92f242c8-623c-4b93-bd7a-11b837a0626e,Low,ETFs,0.91
33c36ae1-3325-4851-9a23-fa5a009fac41,High,Bonds,0.89
2b030b31-32a9-4c96-831a-415217123753,Low,Mutual Funds,0.67
1535928f-f725-493f-90a8-861b8ed205d9,Medium,ETFs,0.85
29497d62-aca5-4527-928c-7197d0786cea,Low,Real Estate,0.42
5ff44b99-767a-4b38-a366-624985b6e8ac,High,Real Estate,0.46
940e81a2-acc4-49f0-846c-1bff516e34d6,Medium,Stocks,0.31
72f80162-f93f-4785-8b0c-7dc552de7ba4,Low,Bonds,0.67
84bc28b1-f0c1-4306-8b38-d81419dd8426,Medium,Stocks,0.39
d2755e21-9cc2-467e-b2c5-529f0e3b1e57,High,Stocks,0.3
68c173bd-872a-4166-a86a-3ba68387178d,High,Mutual Funds,0.2
eb5839ad-9c91-4baf-97c3-7a92553888da,High,Bonds,0.35
3c642358-2c7a-4070-a276-883f99e393b7,High,ETFs,0.83
429a2459-596d-4626-8b42-60fc9b04e44d,Low,ETFs,0.13
c180b404-9e51-4983-8b7f-16448fb1fcf7,Low,Mutual Funds,0.7
95a1c3b1-ce6d-4b2b-95ad-598540a77245,High,Stocks,0.5
61aa6b2e-5e7d-4132-a320-e5a31062b443,High,ETFs,0.53
76c1a110-6a5a-489f-8142-623ca51b3986,Medium,Real Estate,0.22
c8751e43-f13a-4e34-8c95-8d012326e2a7,Low,ETFs,0.36
8aa201ef-c9bc-442b-ad5c-de6e997d70af,Low,Bonds,0.37
465a3205-91ca-4bfe-a821-19b8d6bc510f,High,Real Estate,0.13
8c555a0a-722c-44d8-9829-d4cf535845ed,Low,Bonds,0.67
63005f4f-9b24-4b78-b12c-d4aaa3ba2e73,Medium,Real Estate,0.58
f6029a5a-8c16-4e43-b400-a9801cab7a50,Medium,Bonds,0.53
8915bc0b-6050-466b-bf83-d056eb15f5eb,Low,Bonds,0.26
d9ae2ba4-fa52-4abe-ade3-66f3cce83a84,High,Real Estate,0.29
b5809002-511e-4226-9045-b58068c22e8a,Medium,Real Estate,0.98
df2cc8be-b26e-4275-a522-5b89427416ec,Low,Mutual Funds,0.12
3679089b-a4f6-498e-a437-ee3e28d0095b,High,Mutual Funds,0.88
26a815b9-6e39-4026-85ea-ecca3f9d1038,Medium,Stocks,0.27
ec23abec-ba5f-47e1-9589-e3298f8bb5d2,Low,ETFs,0.14
c2ed68f3-f4f8-44ef-bdcc-bcaefe31f2e0,High,Stocks,0.52
1b9d1590-8882-435e-83cb-0aeb4eb596b2,Medium,Bonds,0.2
f3f7a8ec-9396-4a70-90ab-49f65fa41d93,High,Stocks,0.75
f71927bf-b42f-4107-9a8b-1ecfbf000185,High,Mutual Funds,0.26
514c3d99-e793-4e40-bc54-398e8ef77826,Low,Stocks,0.42
bcb17bd5-a1ff-499c-93f1-0c110bfc4d28,Low,Bonds,0.6
970757d8-59fb-4ef3-b902-37d9d0ae6e29,Medium,Bonds,0.24
7f0cc662-0b14-4a9b-87d1-c9182e8c237a,Low,Bonds,0.43
fc560354-3e00-4f19-b6ee-58b52196bc5f,Medium,Bonds,0.42
82c2432d-e82f-4e44-bb44-2c8781571c1e,Medium,Stocks,0.83
2472a1e2-51af-4ae0-848d-a75fd4bd02eb,High,ETFs,0.66
cc53a2e1-5ecf-4f47-b42c-a17bb9f69477,Low,Stocks,0.96
18b7e20c-ece2-4678-bec5-5937ebaf4c15,Low,ETFs,0.98
10a2b40e-2f7f-43c0-8098-d5dc5f393a7e,High,Stocks,0.22
f8ee76bd-0ea0-4d2d-aed9-a2c0749fad94,Low,Bonds,0.94
43f6bac0-e112-441d-82df-c11378520b32,Medium,Bonds,0.9
b3083c9d-cbff-4be5-8c14-ac58c6d40b6d,High,Stocks,0.6
b3069086-768c-4415-887c-66ba260f1381,High,Mutual Funds,0.99
61d5e1b1-0bde-4720-9add-6ef87b1f0ea3,High,ETFs,0.56
c724ad1e-6657-4498-8028-570b2cc69431,Medium,Real Estate,0.97
75c9e80e-452c-49cd-bf39-f4fe79444a72,Low,Real Estate,0.83
9a574568-2fef-4370-a820-01ed6a7c1019,High,ETFs,0.45
cad2f5f8-6339-4d75-afc4-909b965b51a2,Medium,Stocks,0.94
af44be40-3691-4dd9-85e5-41ab61f51e9b,Medium,Mutual Funds,0.41
71a0741d-6725-4233-81ea-629869de4c88,Low,Real Estate,0.85
d041685b-78c5-44d5-80ef-60f78a8e4c85,Low,Mutual Funds,0.39
87cde8d4-1804-4463-8b07-e950a6ff454f,Low,ETFs,0.4
3d909ade-f351-4cc8-acac-f926a33b36d2,Low,Stocks,0.41
21b14b9a-7d2f-405e-bcd8-4906675fb0ae,Low,ETFs,0.2
316ba95a-7be3-4cd3-a504-fac8e683b94d,High,Mutual Funds,0.72
1dbcfbc1-508e-40a3-a921-e67b81442d4b,Medium,Bonds,0.94
584b4dfc-687f-4bba-9e0c-74b84ac40c44,Low,ETFs,0.6
402ae6dd-6636-4de9-964d-287b01f79fa7,Low,Real Estate,0.56
730b8a74-8d79-4a5b-ae10-17e902347233,High,Stocks,0.82
07450fe9-ae1d-4988-9216-f190e42f0dcb,Low,Mutual Funds,0.28
82c46e59-7954-45c9-a71d-6c11e3585f45,High,Stocks,0.12
8dc480da-a125-4ab8-be4b-8e71d00fcd99,Low,Bonds,0.58
2e8b6fc7-9966-4677-82fe-23e737e91c9e,High,Real Estate,0.37
b62a17e5-75d8-4bbd-87e9-d1c57230154b,Medium,Mutual Funds,0.21
3ef1764d-3c1c-4319-92ed-7fe23d44cffe,Medium,ETFs,0.34
1dea0bdb-5d0a-4476-b375-7564da2cb1a6,High,Real Estate,0.1
652e31e4-b3f1-4b91-9588-f2415aa2c36d,Low,Bonds,0.15
7812cee2-3b3e-426a-ba41-a5ee38024364,High,Real Estate,0.16
50a2d547-dde3-4c9e-b2bd-900d0afdbc25,Medium,Real Estate,0.42
d49dfd8f-c808-416a-bc7a-1175976d576d,Low,Stocks,0.65
3a87e7a6-8c9b-4531-8537-40c85906bba9,Low,Bonds,0.84
b5bb3d92-974e-4b16-9894-a04adde1463a,High,Stocks,0.15
cc8c5888-ebc9-402b-a771-255dd38a8760,High,ETFs,0.69
f8167a3c-7ed7-4dfd-9eac-b196bd7b1186,Low,Stocks,0.88
554d4f62-6206-4079-875e-1c4c5a8c6867,High,Stocks,0.26
8687eccb-6e12-40c3-b536-4ee4b0a7cbe7,Medium,ETFs,0.35
5d34b176-ebce-4b1c-94e0-54e826fa7f03,Low,Real Estate,0.26
070edc1e-8beb-4e4f-939e-33b53c3baf5d,Low,Mutual Funds,0.78
d22da3c7-ab52-47ad-8128-5ac0cc48c931,High,Real Estate,0.77
ca72f696-1160-4e61-b4c8-936237fc1f2f,High,ETFs,0.5
0aad8c2b-3bcc-4108-9f01-15d0d5ef9091,High,Real Estate,0.64
52e22bed-5b64-4282-9ece-1c909addaeb4,Low,Real Estate,0.5
9caeb599-8ac0-4a3d-b422-135c1d209797,High,Stocks,0.28
2c821d54-6450-46ae-b30d-5c71de626ecd,Medium,Stocks,0.88
6393b297-1d3a-4213-91ea-113834532aa2,Low,Real Estate,0.18
5b3e4b0b-1898-4677-8a9f-84557df90cad,Medium,Mutual Funds,0.49
cc1cc50c-c1db-4b59-8214-76c645bba1b1,High,Stocks,0.66
23772a55-83ab-4236-97f9-a487aa033250,High,Real Estate,0.37
83dd23b5-8f1f-42e0-b4d0-3727dae28f68,High,ETFs,0.64
1d921483-d3ba-4cee-b90d-7d4c71996d8f,Medium,ETFs,0.93
8144b948-0cb8-40fe-ab81-0819702404bb,Medium,Real Estate,0.49
5b8eb539-66bd-4f1d-b454-eee1078143cd,High,Real Estate,0.43
b766278c-e21e-457d-8afa-7ebf5f62a394,Low,Stocks,0.13
1b69f755-738d-4930-8005-242efe99a67d,High,ETFs,0.13
0ced0c35-16b8-4da4-9bf6-ee34c35f62d2,High,Mutual Funds,0.94
e89bbbeb-3807-4611-a3c7-db52020e3fd7,Medium,Bonds,0.77
ffb9c3f0-a105-4845-9631-ea833355003d,Medium,Mutual Funds,0.22
b23187ac-6c15-433e-b104-2fdc81da6587,Medium,Real Estate,0.34
7ae36fbe-ad28-44d0-9ee6-35051c938a6d,Low,Mutual Funds,0.13
174b7051-ee24-48f9-8433-ed5a1ebb856c,Medium,Mutual Funds,0.82
bce8f2cf-82fd-43b7-83dd-e456bc47d959,Low,ETFs,0.56
3232f4ca-87d3-41eb-9258-38fd1a5ddb7b,High,ETFs,0.99
0dcabb22-f1e3-4b91-ba02-c69a4b8be81c,Low,Mutual Funds,0.97
5d4d84ee-296f-459d-9b93-2ae69758bd7f,High,Stocks,0.87
c8904be3-dff0-452d-bcaf-57f1fcd4c34a,High,Real Estate,0.76
4356f23e-fd15-4c84-9bf3-607bdb1b63fc,High,Stocks,0.86
5a0c4f61-5356-475e-b020-9eb87f29ce8f,Medium,ETFs,0.9
78279fac-664e-43da-a538-400479b710cd,Low,ETFs,0.64
01845742-9559-4177-9510-251ac9e3a461,Low,Bonds,0.57
300f6a95-0b25-44d4-ab0d-0b35ab9a12f4,Low,ETFs,0.95
f3945e0c-c52a-4777-b893-0addeeb6bb34,Medium,Real Estate,0.96
cafe3df4-bd09-4e7e-bd85-a82207cd7a76,Medium,Real Estate,0.67
696df4f3-d523-4473-83b5-6dd837c2532d,Medium,Real Estate,0.18
daa3940d-5e68-4294-9957-db59a7ce7426,Medium,Stocks,0.37
82061546-649b-411f-a1bc-8df63298f4ba,Low,Stocks,0.52
b82f0392-2c27-4f59-8593-8400a26af245,Low,Real Estate,0.62
e0393bad-c232-412d-8854-43f00cfb24e5,Low,Mutual Funds,0.35
403f670a-4973-4b3f-b7c6-03435d762c2d,Low,Stocks,0.71
ee0fc971-864a-4e85-aff9-aa29ef256e23,Medium,Real Estate,0.14
710345f7-cfbe-4501-954a-89d85835963c,Medium,ETFs,0.23
78cbff7d-9b3f-4f1d-9fc0-1977930e1315,Medium,Mutual Funds,0.17
f42b836e-e841-4d43-899b-02e3fd0fc4c8,Low,Real Estate,0.35
3a01e713-9315-4739-b804-fd64e8b71a1d,High,Stocks,0.96
42866730-38cc-426f-b8b3-2ba1f062f177,High,Bonds,0.89
917a5a95-74e9-4952-82db-a745a4f3df08,High,Real Estate,0.12
15078128-3105-44a0-8a55-5d6c4fefe070,Medium,Bonds,0.55
0e1fee6b-ac14-47ee-bec0-cee9b072a9c3,Low,Real Estate,0.15
2b50935f-2521-423d-9b3d-6eae041bf5e3,Low,Bonds,1.0
5847e4e0-4385-4120-855e-3245b1af31a5,Low,ETFs,0.61
abf995ef-9653-4885-8e54-b0312e308ef2,Low,Bonds,0.29
2ed9e3b1-d66f-42a2-bd69-a3311fbb27ff,Medium,Stocks,0.27
e19d6955-88fd-4f84-bdea-7a0c097dc72f,High,Real Estate,0.9
3f33d302-18d1-4bad-9523-aeb710d53c29,Low,ETFs,0.67
7bc85f52-872b-4e05-9716-24ee8188c6c8,High,ETFs,0.41
b9191aec-7947-4f37-b4d2-fc35f7e52243,Medium,Mutual Funds,0.6
c0ee186f-b558-45fc-b114-df9035db840c,Medium,Mutual Funds,0.79
19bffbbf-6088-4c03-957f-ea0f926b7652,Medium,Real Estate,0.73
72fa5ebe-564f-47f9-9960-6162a821ba78,High,Bonds,0.81
39e4ec39-5ca9-4716-a423-d61a6e119bec,Low,Real Estate,0.79
f38219b2-800c-4b70-b625-56f62be6de80,High,Bonds,0.31
d107a860-86ba-4530-b009-89d77415b5d8,Low,Bonds,0.87
7eaf7fd2-67b1-477a-9926-bad96eb13fda,Medium,Bonds,0.78
fbfdf680-e8c8-4000-9f19-05b343e7eeae,Medium,Stocks,0.48
12611a1b-15e4-4bf2-9e81-272dc498773b,Medium,Stocks,0.79
e587368a-a9da-453d-8900-4f0d7ed31e1c,Medium,ETFs,0.3
2b6a12a4-e81b-4b2d-8954-52058014eb18,Low,Stocks,0.94
ab776258-6ef6-4fc0-860d-7f393d51d78a,High,Mutual Funds,0.99
862b645b-ca14-4f22-969a-eb9bff876b6c,Low,Stocks,0.74
43589012-520e-4fa8-a51d-954613fcdcfa,Low,Bonds,0.83
f7236a77-0133-4fee-bbe4-612fbfa0af92,High,Real Estate,0.71
82cdd725-d144-4243-9632-4e84974bdc7a,High,Mutual Funds,0.3
68583977-2bdf-4dd3-8921-a7c55358eb14,Medium,Mutual Funds,0.22
9031be61-c85a-425b-a629-768c9cb3251e,Low,Real Estate,0.42
296a64a9-aeb4-4df0-808b-5e050a9772b2,High,Stocks,0.18
1e378320-f2d0-4a94-9cbf-4c6df05c241e,Medium,Bonds,0.34
8d78a2d7-8729-4cb3-bd95-8e5024290f0f,Medium,Bonds,0.81
555ae518-3217-43fb-87c9-ef937e123056,High,Stocks,0.21
b8d8d115-fc22-4403-83e8-1cd3f867d789,High,Stocks,0.14
db08d3b7-40c4-4f42-8a26-b5beace7e234,Medium,ETFs,0.84
664c2628-d8bf-4632-983c-c114dc99b92c,High,Bonds,0.55
00decb65-9042-48ef-81af-30c23c4de94a,Medium,Real Estate,0.23
