CustomerID,Age,Gender,MaritalStatus,AnnualIncome,RiskTolerance,PreferredInvestment,PortfolioDiversification,RetirementAge,SavingsGoal,InvestmentStrategy,MonthlySavings,SavingFrequency,SavingInstruments,TransactionID,TransactionDate,TransactionAmount,TransactionType
20,55,Female,Single,38725,Medium,Bonds,Low,66,1472183,Conservative,917,Quarterly,Real Estate,20,2023-01-20,1962.48,Debit
21,65,Male,Married,57315,High,Real Estate,Medium,62,381414,Conservative,4666,Monthly,Stocks,21,2023-01-21,8292.96,Debit
22,39,Male,Single,72412,Medium,Real Estate,Low,60,1556418,Balanced,1033,Quarterly,Stocks,22,2023-01-22,2439.43,Debit
23,50,Female,Married,91832,Low,Bonds,Low,67,792390,Balanced,4478,Quarterly,Stocks,23,2023-01-23,6708.01,Debit
24,43,Male,Married,81510,High,Stocks,Medium,69,142947,Aggressive,3324,Quarterly,Real Estate,24,2023-01-24,9826.59,Credit
25,62,Female,Single,91300,High,Real Estate,Medium,56,1230445,Conservative,3332,Monthly,Stocks,25,2023-01-25,7169.8,Credit
26,49,Male,Divorced,81705,Low,Mutual Funds,Low,64,1088371,Conservative,1883,Quarterly,Bonds,26,2023-01-26,6619.54,Debit
27,19,Female,Divorced,53264,High,Mutual Funds,High,61,963866,Balanced,1265,Monthly,Bonds,27,2023-01-27,2625.9,Credit
28,67,Male,Married,104319,Low,Stocks,Medium,55,311214,Balanced,1617,Quarterly,Bank Deposit,28,2023-01-28,9211.85,Credit
29,35,Female,Divorced,33547,Low,Bonds,High,63,517938,Aggressive,2870,Annually,Bank Deposit,29,2023-01-29,2355.71,Debit
30,54,Female,Divorced,42838,Medium,Mutual Funds,Medium,56,186842,Balanced,2128,Monthly,Bank Deposit,30,2023-01-30,1537.25,Debit
31,53,Female,Single,34108,High,Bonds,Medium,63,1342098,Conservative,596,Annually,Stocks,31,2023-01-31,7491.14,Credit
32,41,Male,Married,46437,Low,Mutual Funds,High,58,916664,Conservative,4593,Annually,Stocks,32,2023-02-01,3922.47,Debit
33,29,Female,Single,105084,Low,Mutual Funds,High,56,1019628,Conservative,3845,Monthly,Stocks,33,2023-02-02,4357.46,Debit
34,35,Male,Divorced,79071,Medium,Bonds,Low,57,1191318,Aggressive,3204,Monthly,Stocks,34,2023-02-03,1025.72,Credit
35,39,Female,Married,101167,High,Bonds,High,58,727327,Balanced,3259,Monthly,Bank Deposit,35,2023-02-04,2982.08,Credit
36,21,Male,Single,133793,Low,Real Estate,High,65,621558,Aggressive,1947,Monthly,Bonds,36,2023-02-05,2993.08,Debit
37,22,Male,Single,138216,High,Real Estate,High,61,1243409,Balanced,3030,Monthly,Real Estate,37,2023-02-06,4748.93,Credit
38,62,Female,Married,93185,Medium,Real Estate,Medium,68,1286040,Conservative,1176,Quarterly,Bonds,38,2023-02-07,9730.26,Debit
39,54,Female,Divorced,127290,Medium,Real Estate,High,57,667375,Aggressive,1193,Monthly,Bank Deposit,39,2023-02-08,917.88,Debit
40,39,Male,Married,62270,High,Bonds,Medium,57,1837284,Balanced,2001,Quarterly,Real Estate,40,2023-02-09,7893.67,Credit
41,37,Male,Married,96353,Medium,Stocks,High,68,1798985,Aggressive,3971,Monthly,Stocks,41,2023-02-10,7389.45,Credit
42,33,Female,Divorced,70372,High,Real Estate,Low,58,1308509,Balanced,2388,Annually,Bank Deposit,42,2023-02-11,8655.75,Credit
43,36,Male,Married,52854,High,Real Estate,High,68,730668,Conservative,3426,Annually,Real Estate,43,2023-02-12,3055.76,Debit
44,41,Male,Single,139334,High,Real Estate,Medium,64,193270,Conservative,3553,Quarterly,Bonds,44,2023-02-13,4089.91,Credit
45,24,Male,Single,143670,Medium,Bonds,Medium,68,967714,Aggressive,4911,Monthly,Bank Deposit,45,2023-02-14,412.74,Debit
46,51,Male,Divorced,61444,High,Real Estate,Medium,61,201867,Balanced,3722,Annually,Stocks,46,2023-02-15,6335.46,Credit
47,42,Female,Divorced,96077,Medium,Bonds,Low,67,425360,Conservative,4033,Annually,Real Estate,47,2023-02-16,410.99,Credit
48,51,Female,Married,50838,High,Real Estate,High,62,1910817,Balanced,1752,Annually,Bank Deposit,48,2023-02-17,4235.34,Credit
49,21,Male,Married,37262,Low,Mutual Funds,Medium,57,167044,Balanced,4434,Annually,Real Estate,49,2023-02-18,2491.34,Credit
50,52,Male,Married,55388,High,Bonds,Low,60,886503,Balanced,734,Monthly,Stocks,50,2023-02-19,1706.34,Debit
51,51,Male,Married,109938,High,Real Estate,Low,69,347960,Conservative,1879,Monthly,Bank Deposit,51,2023-02-20,7651.83,Debit
52,63,Female,Married,72271,Low,Stocks,Medium,59,681432,Balanced,3969,Annually,Bonds,52,2023-02-21,9927.92,Debit
53,37,Female,Married,93515,High,Bonds,High,68,586050,Aggressive,4599,Annually,Bonds,53,2023-02-22,9626.42,Credit
54,29,Female,Married,74442,Low,Real Estate,Medium,60,437545,Aggressive,1460,Quarterly,Stocks,54,2023-02-23,6255.32,Credit
55,34,Male,Divorced,106510,High,Real Estate,Low,64,1661011,Aggressive,1860,Annually,Real Estate,55,2023-02-24,9711.97,Debit
56,47,Male,Married,141994,Medium,Mutual Funds,Low,64,354777,Balanced,1970,Quarterly,Bonds,56,2023-02-25,554.45,Debit
57,45,Male,Divorced,87755,Medium,Bonds,Low,56,978930,Aggressive,3959,Monthly,Bank Deposit,57,2023-02-26,1059.4,Debit
58,35,Male,Divorced,85795,Medium,Mutual Funds,High,68,1452112,Conservative,1473,Monthly,Stocks,58,2023-02-27,6115.65,Debit
59,23,Male,Divorced,63509,Medium,Bonds,Low,62,754845,Conservative,4874,Monthly,Bank Deposit,59,2023-02-28,6566.91,Debit
60,49,Male,Married,35091,High,Real Estate,High,56,1679586,Balanced,4107,Quarterly,Bank Deposit,60,2023-03-01,5219.28,Credit
61,34,Female,Single,96751,High,Stocks,High,69,1756798,Balanced,3197,Quarterly,Real Estate,61,2023-03-02,5655.54,Credit
62,29,Male,Divorced,59480,High,Stocks,Medium,66,157032,Balanced,4476,Monthly,Bank Deposit,62,2023-03-03,9508.01,Credit
63,62,Male,Divorced,68547,High,Mutual Funds,Low,58,836592,Aggressive,1769,Monthly,Stocks,63,2023-03-04,9788.21,Credit
64,38,Male,Married,105084,Low,Stocks,High,58,717137,Conservative,1410,Quarterly,Bonds,64,2023-03-05,1776.56,Credit
65,20,Female,Divorced,34359,High,Bonds,Medium,65,562394,Aggressive,1106,Monthly,Stocks,65,2023-03-06,7863.25,Credit
66,24,Female,Single,115405,Low,Mutual Funds,High,69,678951,Aggressive,3108,Quarterly,Stocks,66,2023-03-07,5332.26,Credit
67,53,Female,Married,77348,High,Stocks,Low,69,1413717,Balanced,4571,Monthly,Bonds,67,2023-03-08,9620.09,Credit
68,55,Male,Divorced,74333,High,Stocks,High,58,1569035,Balanced,4593,Annually,Bank Deposit,68,2023-03-09,6581.06,Credit
69,24,Male,Single,126998,High,Bonds,High,63,1104350,Balanced,4053,Annually,Bonds,69,2023-03-10,3775.95,Debit
70,42,Male,Married,84150,Low,Real Estate,Low,58,1285414,Aggressive,1933,Monthly,Stocks,70,2023-03-11,4207.64,Debit
71,20,Female,Divorced,114830,Medium,Bonds,Low,63,689731,Balanced,2299,Quarterly,Bonds,71,2023-03-12,705.75,Debit
72,27,Female,Single,141361,Medium,Bonds,Medium,69,1559396,Conservative,4680,Quarterly,Bonds,72,2023-03-13,2240.93,Credit
73,43,Female,Divorced,146329,High,Bonds,Medium,69,1610324,Conservative,4301,Quarterly,Bank Deposit,73,2023-03-14,5673.99,Debit
74,24,Female,Married,107625,Medium,Real Estate,Low,55,1842854,Conservative,3430,Monthly,Real Estate,74,2023-03-15,4029.21,Debit
75,69,Male,Divorced,148361,Low,Mutual Funds,Medium,67,259055,Conservative,4743,Quarterly,Bank Deposit,75,2023-03-16,5268.58,Credit
76,51,Female,Single,50562,Medium,Bonds,Medium,65,1331572,Balanced,3836,Quarterly,Bank Deposit,76,2023-03-17,3998.34,Credit
77,38,Female,Single,118511,High,Real Estate,Medium,65,1747916,Balanced,3808,Annually,Bank Deposit,77,2023-03-18,3988.07,Debit
78,46,Male,Single,136840,Medium,Mutual Funds,Medium,69,1684951,Balanced,1493,Annually,Bank Deposit,78,2023-03-19,2861.12,Credit
79,61,Male,Single,30997,Medium,Bonds,Low,58,1037127,Balanced,3703,Monthly,Bank Deposit,79,2023-03-20,2163.36,Debit
80,47,Female,Single,42866,Low,Mutual Funds,Medium,55,461460,Aggressive,4545,Monthly,Real Estate,80,2023-03-21,3866.6,Debit
81,37,Female,Single,32267,High,Bonds,Medium,55,794094,Balanced,1483,Quarterly,Bonds,81,2023-03-22,9022.02,Credit
82,30,Female,Divorced,64455,Low,Bonds,Medium,69,286591,Aggressive,4245,Annually,Bonds,82,2023-03-23,748.28,Debit
83,69,Male,Single,120296,High,Real Estate,High,61,1775654,Aggressive,2120,Monthly,Real Estate,83,2023-03-24,9180.62,Credit
84,35,Female,Divorced,66044,Medium,Real Estate,Medium,56,500265,Aggressive,3803,Monthly,Real Estate,84,2023-03-25,8839.13,Credit
85,53,Male,Married,146549,High,Bonds,Medium,62,698448,Balanced,2972,Monthly,Stocks,85,2023-03-26,3303.69,Debit
86,24,Female,Divorced,101330,High,Stocks,Low,55,769554,Balanced,3021,Quarterly,Stocks,86,2023-03-27,2721.11,Debit
87,25,Female,Single,149167,Low,Bonds,Low,65,1382699,Aggressive,2135,Monthly,Real Estate,87,2023-03-28,1371.29,Debit
88,60,Female,Married,59021,Low,Mutual Funds,High,67,1355896,Conservative,2491,Monthly,Bank Deposit,88,2023-03-29,3743.86,Credit
89,20,Male,Single,116066,Low,Stocks,Medium,59,1408630,Aggressive,2591,Quarterly,Real Estate,89,2023-03-30,2432.65,Credit
90,21,Female,Divorced,113016,Medium,Bonds,High,60,883932,Conservative,4528,Quarterly,Bank Deposit,90,2023-03-31,4356.15,Credit
91,34,Male,Married,135263,Medium,Mutual Funds,High,57,916460,Balanced,4968,Quarterly,Bank Deposit,91,2023-04-01,9043.29,Debit
92,23,Female,Married,126636,Medium,Stocks,Medium,64,1454550,Aggressive,4210,Monthly,Bank Deposit,92,2023-04-02,4395.55,Credit
93,19,Female,Single,89860,High,Real Estate,Medium,57,124084,Aggressive,4817,Quarterly,Bonds,93,2023-04-03,1964.06,Debit
94,40,Female,Divorced,51952,High,Real Estate,High,65,591696,Balanced,3366,Quarterly,Bonds,94,2023-04-04,8059.21,Credit
95,54,Male,Single,104709,Medium,Mutual Funds,Medium,66,1779367,Aggressive,4663,Quarterly,Stocks,95,2023-04-05,2002.71,Debit
96,27,Female,Divorced,65282,High,Real Estate,High,65,1018736,Conservative,3421,Quarterly,Stocks,96,2023-04-06,8468.16,Credit
97,40,Female,Single,43199,High,Stocks,Medium,61,1299709,Conservative,4901,Monthly,Bonds,97,2023-04-07,7299.74,Debit
98,58,Female,Married,145422,Low,Mutual Funds,High,60,1657806,Conservative,3336,Annually,Bank Deposit,98,2023-04-08,6351.39,Credit
99,42,Female,Divorced,53404,High,Mutual Funds,Medium,67,1696025,Balanced,2997,Quarterly,Real Estate,99,2023-04-09,3120.75,Credit
100,41,Male,Divorced,119760,Medium,Stocks,Medium,61,269760,Aggressive,4204,Monthly,Real Estate,100,2023-04-10,5547.46,Debit
101,31,Female,Divorced,117750,Low,Real Estate,Medium,59,1181915,Aggressive,2339,Monthly,Bank Deposit,101,2023-04-11,5260.5,Credit
102,58,Male,Single,76066,Medium,Bonds,Medium,68,936622,Conservative,2122,Quarterly,Stocks,102,2023-04-12,4196.69,Credit
103,35,Male,Married,98587,High,Bonds,Medium,64,1679037,Balanced,3599,Annually,Bonds,103,2023-04-13,5981.57,Debit
104,46,Female,Married,61082,Low,Mutual Funds,Low,66,341152,Conservative,4124,Monthly,Real Estate,104,2023-04-14,8363.46,Debit
105,39,Female,Married,138750,Low,Stocks,Low,58,1157535,Conservative,638,Quarterly,Bonds,105,2023-04-15,2459.81,Credit
106,22,Female,Divorced,113192,Low,Bonds,Low,59,1378679,Aggressive,4740,Quarterly,Stocks,106,2023-04-16,7600.86,Credit
107,25,Female,Divorced,83116,Medium,Bonds,Medium,67,244101,Conservative,2284,Monthly,Bonds,107,2023-04-17,336.92,Debit
108,53,Male,Divorced,119350,Medium,Stocks,Medium,57,807313,Conservative,612,Quarterly,Real Estate,108,2023-04-18,7680.45,Debit
109,60,Male,Divorced,44376,High,Mutual Funds,Medium,66,876064,Aggressive,1705,Monthly,Bank Deposit,109,2023-04-19,8374.12,Debit
110,29,Male,Single,103122,High,Real Estate,High,56,1872182,Conservative,3997,Quarterly,Stocks,110,2023-04-20,9644.54,Debit
111,68,Male,Single,64326,Medium,Real Estate,High,56,901322,Conservative,4401,Annually,Bonds,111,2023-04-21,9616.74,Credit
112,40,Male,Divorced,140636,Low,Mutual Funds,Medium,60,937566,Aggressive,821,Quarterly,Real Estate,112,2023-04-22,2862.69,Credit
113,41,Female,Married,114538,Low,Mutual Funds,High,56,129431,Balanced,669,Quarterly,Bonds,113,2023-04-23,8539.88,Credit
114,47,Male,Divorced,106645,Low,Real Estate,Medium,64,1667723,Balanced,4057,Quarterly,Stocks,114,2023-04-24,8226.12,Credit
115,55,Female,Divorced,136910,High,Stocks,Medium,55,935852,Balanced,3600,Quarterly,Real Estate,115,2023-04-25,2195.05,Credit
116,60,Female,Married,143356,Low,Stocks,Medium,65,388516,Aggressive,3041,Quarterly,Bank Deposit,116,2023-04-26,2942.07,Debit
117,32,Female,Divorced,41529,Low,Bonds,Low,60,1905148,Conservative,1166,Annually,Bank Deposit,117,2023-04-27,1415.6,Debit
118,28,Female,Divorced,65650,Medium,Mutual Funds,Low,60,669191,Aggressive,1953,Monthly,Stocks,118,2023-04-28,9279.46,Debit
119,32,Female,Divorced,72362,Medium,Real Estate,High,61,1770928,Aggressive,3006,Annually,Real Estate,119,2023-04-29,4798.25,Debit
120,51,Female,Divorced,144772,High,Real Estate,Low,56,553761,Balanced,2040,Quarterly,Bank Deposit,120,2023-04-30,1384.25,Debit
121,53,Male,Married,96850,High,Stocks,Medium,63,114069,Conservative,2946,Annually,Bonds,121,2023-05-01,4843.75,Debit
122,44,Male,Single,115054,Medium,Stocks,Medium,56,930450,Aggressive,1965,Monthly,Bonds,122,2023-05-02,8438.3,Debit
123,22,Male,Divorced,62995,Medium,Stocks,High,68,1860933,Aggressive,540,Monthly,Bank Deposit,123,2023-05-03,2863.83,Credit
124,30,Female,Divorced,45983,Medium,Stocks,High,61,1520199,Balanced,1598,Quarterly,Stocks,124,2023-05-04,4222.31,Credit
125,61,Male,Married,92515,Low,Stocks,High,57,487112,Balanced,1984,Annually,Bank Deposit,125,2023-05-05,5562.42,Credit
126,59,Male,Single,141909,High,Bonds,Medium,58,777356,Aggressive,2323,Monthly,Bonds,126,2023-05-06,2395.08,Debit
127,45,Female,Married,113497,Medium,Real Estate,Low,68,187501,Conservative,1029,Annually,Stocks,127,2023-05-07,3950.76,Debit
128,67,Female,Single,129338,High,Real Estate,High,57,401328,Conservative,2552,Quarterly,Bank Deposit,128,2023-05-08,3480.04,Credit
129,35,Male,Divorced,146114,High,Bonds,Medium,69,341416,Balanced,2486,Quarterly,Stocks,129,2023-05-09,5264.66,Debit
130,67,Female,Divorced,113916,Low,Stocks,Medium,59,1676951,Balanced,4876,Annually,Stocks,130,2023-05-10,6621.44,Credit
131,61,Male,Single,76682,Low,Real Estate,High,64,1069390,Aggressive,1382,Quarterly,Stocks,131,2023-05-11,694.11,Credit
132,25,Male,Divorced,140215,Medium,Mutual Funds,Medium,59,1816415,Conservative,4952,Quarterly,Stocks,132,2023-05-12,7740.35,Debit
133,52,Male,Single,88402,Medium,Stocks,Low,68,1223698,Balanced,2728,Monthly,Bank Deposit,133,2023-05-13,6383.82,Debit
134,43,Male,Divorced,69207,High,Mutual Funds,Medium,59,730824,Aggressive,3971,Annually,Bonds,134,2023-05-14,6354.33,Debit
135,57,Female,Married,98704,Medium,Stocks,Medium,56,274216,Conservative,4053,Annually,Real Estate,135,2023-05-15,3629.06,Debit
136,36,Male,Married,96584,Medium,Stocks,Low,58,198023,Aggressive,1804,Annually,Bonds,136,2023-05-16,4176.01,Credit
137,65,Male,Divorced,45561,High,Bonds,Low,61,1650868,Conservative,2135,Quarterly,Bonds,137,2023-05-17,8268.31,Credit
138,59,Male,Married,100899,Low,Stocks,Low,65,955299,Balanced,1562,Monthly,Stocks,138,2023-05-18,8415.73,Credit
139,41,Male,Single,111084,High,Bonds,Low,57,1400180,Conservative,3150,Quarterly,Bank Deposit,139,2023-05-19,4307.15,Debit
140,69,Male,Married,73077,Medium,Mutual Funds,High,57,568823,Balanced,1563,Quarterly,Bonds,140,2023-05-20,1078.56,Credit
141,48,Male,Married,127775,Medium,Bonds,High,62,1071343,Balanced,4271,Quarterly,Real Estate,141,2023-05-21,5603.33,Credit
142,57,Female,Single,79202,High,Stocks,High,66,1961583,Aggressive,3899,Annually,Stocks,142,2023-05-22,3798.35,Debit
143,58,Male,Married,88143,High,Bonds,Low,62,436054,Balanced,3047,Monthly,Bank Deposit,143,2023-05-23,3910.76,Credit
144,39,Male,Divorced,82884,Low,Bonds,High,57,882348,Conservative,3872,Quarterly,Real Estate,144,2023-05-24,5298.35,Debit
145,19,Female,Divorced,128868,Low,Real Estate,Low,63,145268,Balanced,1121,Annually,Real Estate,145,2023-05-25,9499.87,Credit
146,40,Female,Divorced,57064,Medium,Bonds,High,69,1717613,Balanced,930,Annually,Bonds,146,2023-05-26,5181.26,Credit
147,32,Male,Married,61617,High,Stocks,Medium,66,1943646,Conservative,4013,Quarterly,Bonds,147,2023-05-27,7000.77,Debit
148,27,Male,Divorced,149261,Low,Real Estate,High,59,681838,Balanced,4481,Monthly,Real Estate,148,2023-05-28,7065.72,Debit
149,38,Female,Single,40230,Low,Real Estate,Medium,60,202246,Aggressive,3592,Monthly,Stocks,149,2023-05-29,9204.19,Credit
150,65,Female,Divorced,94830,Low,Mutual Funds,High,61,581915,Balanced,1624,Quarterly,Bonds,150,2023-05-30,2886.79,Credit
151,67,Female,Single,123961,Medium,Stocks,Low,63,471004,Aggressive,1039,Quarterly,Bonds,151,2023-05-31,7133.17,Credit
152,32,Female,Single,64630,High,Bonds,High,66,568415,Conservative,3253,Quarterly,Bank Deposit,152,2023-06-01,174.06,Credit
153,61,Female,Married,63309,Low,Bonds,Medium,63,776075,Conservative,2661,Monthly,Stocks,153,2023-06-02,5642.55,Debit
154,55,Male,Single,80355,Low,Bonds,High,61,1172657,Conservative,1521,Monthly,Real Estate,154,2023-06-03,4854.93,Debit
155,34,Male,Single,63028,Low,Stocks,High,66,1310083,Conservative,1216,Annually,Stocks,155,2023-06-04,4653.54,Debit
156,51,Male,Single,132633,Medium,Stocks,Medium,58,685254,Conservative,3846,Annually,Bank Deposit,156,2023-06-05,7530.59,Debit
157,52,Female,Married,35296,Medium,Mutual Funds,Medium,55,763386,Aggressive,2536,Monthly,Stocks,157,2023-06-06,9681.06,Credit
158,33,Female,Divorced,66402,Medium,Real Estate,Medium,57,770427,Aggressive,1870,Annually,Stocks,158,2023-06-07,3110.9,Credit
159,38,Male,Married,111179,High,Bonds,Low,69,777062,Conservative,2509,Annually,Bonds,159,2023-06-08,7047.25,Credit
160,22,Female,Single,110567,High,Stocks,High,60,972087,Aggressive,4822,Quarterly,Stocks,160,2023-06-09,776.71,Credit
161,30,Male,Single,86953,Medium,Bonds,High,56,1774059,Conservative,4729,Annually,Stocks,161,2023-06-10,80.61,Credit
162,38,Female,Single,126238,High,Stocks,Low,69,1966327,Balanced,3628,Annually,Stocks,162,2023-06-11,1806.07,Credit
163,19,Male,Divorced,125287,High,Mutual Funds,Low,56,793344,Aggressive,1529,Monthly,Real Estate,163,2023-06-12,1651.06,Debit
164,38,Female,Married,138598,Low,Real Estate,Medium,55,406932,Aggressive,1350,Annually,Stocks,164,2023-06-13,7856.5,Debit
165,33,Male,Divorced,104531,High,Real Estate,High,56,564871,Aggressive,1845,Annually,Real Estate,165,2023-06-14,719.44,Debit
166,25,Male,Married,33545,Low,Real Estate,Medium,67,1867303,Balanced,4535,Quarterly,Real Estate,166,2023-06-15,8695.25,Credit
167,33,Male,Divorced,94308,Medium,Real Estate,Medium,60,881323,Balanced,1890,Quarterly,Real Estate,167,2023-06-16,5255.0,Debit
168,47,Male,Divorced,92603,Medium,Mutual Funds,Low,56,193265,Aggressive,788,Annually,Bank Deposit,168,2023-06-17,408.58,Debit
169,42,Male,Married,120479,Medium,Stocks,High,57,1061215,Conservative,4661,Annually,Stocks,169,2023-06-18,1681.25,Debit
170,36,Male,Married,76289,High,Bonds,Medium,55,1121135,Conservative,3692,Monthly,Real Estate,170,2023-06-19,6543.14,Debit
171,26,Male,Single,126963,Medium,Real Estate,Medium,56,1653252,Aggressive,2104,Annually,Bonds,171,2023-06-20,4197.54,Debit
172,34,Female,Married,93492,High,Stocks,Low,58,960863,Aggressive,1130,Quarterly,Stocks,172,2023-06-21,7815.0,Debit
173,56,Male,Married,79351,Medium,Real Estate,High,63,960792,Conservative,4193,Quarterly,Real Estate,173,2023-06-22,9585.25,Credit
174,25,Male,Single,95718,Medium,Real Estate,Low,58,230373,Conservative,3655,Monthly,Bank Deposit,174,2023-06-23,7342.3,Credit
175,55,Male,Married,57094,Medium,Real Estate,Low,63,385138,Balanced,1074,Quarterly,Stocks,175,2023-06-24,6863.57,Debit
176,43,Male,Married,45245,Medium,Mutual Funds,Low,67,748695,Aggressive,1658,Annually,Stocks,176,2023-06-25,9209.11,Debit
177,32,Male,Divorced,109770,Medium,Mutual Funds,Low,65,155015,Balanced,1959,Monthly,Bank Deposit,177,2023-06-26,4686.1,Credit
178,63,Male,Married,68901,Low,Stocks,Low,57,777595,Balanced,895,Monthly,Bonds,178,2023-06-27,5948.35,Credit
179,18,Male,Single,90560,Medium,Mutual Funds,Medium,59,647390,Balanced,3114,Annually,Stocks,179,2023-06-28,4490.81,Credit
180,61,Female,Divorced,76243,Low,Mutual Funds,Low,68,1325846,Aggressive,2307,Annually,Real Estate,180,2023-06-29,8690.74,Debit
181,44,Male,Married,99627,High,Mutual Funds,Low,66,199313,Aggressive,2231,Monthly,Bonds,181,2023-06-30,467.46,Credit
182,42,Female,Divorced,142992,High,Bonds,High,67,1078583,Conservative,4654,Monthly,Bank Deposit,182,2023-07-01,9708.24,Debit
183,66,Male,Single,143030,Low,Mutual Funds,Medium,65,1251541,Balanced,1783,Monthly,Real Estate,183,2023-07-02,5574.47,Credit
184,61,Female,Divorced,147302,Low,Mutual Funds,Medium,65,747726,Conservative,2741,Monthly,Stocks,184,2023-07-03,5097.98,Credit
185,29,Male,Divorced,81963,High,Real Estate,Medium,68,1473187,Aggressive,1218,Quarterly,Real Estate,185,2023-07-04,751.51,Debit
186,48,Male,Divorced,88552,Low,Mutual Funds,Low,69,1949465,Conservative,4305,Annually,Bonds,186,2023-07-05,1203.2,Debit
187,68,Female,Married,126130,Low,Bonds,High,63,814471,Conservative,2885,Monthly,Bank Deposit,187,2023-07-06,1355.44,Debit
188,49,Male,Single,90956,High,Stocks,High,60,1901240,Conservative,3723,Quarterly,Bonds,188,2023-07-07,4959.93,Credit
189,58,Male,Divorced,60389,Low,Mutual Funds,Medium,56,1308130,Aggressive,1667,Quarterly,Bonds,189,2023-07-08,7756.44,Debit
190,53,Male,Divorced,42573,Low,Mutual Funds,Low,59,805764,Aggressive,676,Monthly,Bank Deposit,190,2023-07-09,2061.63,Debit
191,24,Female,Divorced,96043,Medium,Bonds,Low,58,1501678,Aggressive,1546,Annually,Stocks,191,2023-07-10,6795.18,Credit
192,23,Male,Divorced,134564,Medium,Bonds,Medium,69,1249189,Conservative,1810,Annually,Stocks,192,2023-07-11,3040.93,Debit
193,50,Female,Divorced,129121,Low,Bonds,Low,56,1971263,Conservative,1808,Annually,Stocks,193,2023-07-12,7207.51,Debit
194,39,Female,Single,58448,High,Stocks,High,58,444250,Aggressive,3010,Annually,Bonds,194,2023-07-13,8072.68,Credit
195,56,Male,Divorced,148927,Medium,Mutual Funds,Medium,60,908941,Balanced,4183,Monthly,Bank Deposit,195,2023-07-14,6346.45,Credit
196,69,Female,Married,110288,Low,Mutual Funds,Medium,61,1493993,Aggressive,2956,Monthly,Stocks,196,2023-07-15,1357.77,Credit
197,39,Male,Married,97858,Low,Real Estate,Medium,60,1756099,Balanced,3489,Quarterly,Bonds,197,2023-07-16,7329.94,Debit
198,42,Male,Married,113690,Medium,Stocks,Low,63,1821963,Aggressive,4835,Annually,Real Estate,198,2023-07-17,7759.29,Debit
199,31,Male,Divorced,91902,High,Bonds,High,59,1728387,Conservative,4041,Annually,Bonds,199,2023-07-18,8949.62,Debit
200,50,Male,Single,38642,Medium,Bonds,High,63,1054885,Conservative,4799,Annually,Bonds,200,2023-07-19,7926.2,Credit
